85078922236|||Journal of Alloys and Compounds
85080037349|||Journal of Molecular Structure
85077238382|||Food Chemistry
85078520267|||Inorganica Chimica Acta
85078429950|||Scientia Horticulturae
85076187171|||Computer Physics Communications
85077159291|||Bioelectrochemistry
85076554137|||Chemosphere
85070813930|||Technology Analysis and Strategic Management
85074645173|||Radiation and Environmental Biophysics
85071846090|||Chemical Papers
85079403822|||Regional Studies in Marine Science
85077650493|||Polyhedron
85076531118|||Inorganica Chimica Acta
85073936556|||Chemosphere
85079346055|||Neurosurgery
85076826149|||International Journal of Cardiology
85079295084|||Journal of the Brazilian Society of Mechanical Sciences and Engineering
85079793280|||International journal of environmental research and public health
85079628459|||Frontiers in Endocrinology
85079572923|||Tehnicki Vjesnik
85079630136|||Metals
85079571956|||Tehnicki Vjesnik
85079570800|||Tehnicki Vjesnik
85078938912|||Iranian Journal of Public Health
85079573977|||Tehnicki Vjesnik
85078828134|||Iranian Journal of Public Health
85076515589|||Computational Biology and Chemistry
85079165974|||Antibiotics
85078589201|||Polyhedron
85076715055|||Industrial Crops and Products
85074270725|||Journal of Inorganic Biochemistry
85079031382|||Frontiers in Public Health
85077949842|||Journal of Physical Chemistry A
85078135740|||Physical Review E
85074520503|||Expert Review of Neurotherapeutics
85073822747|||Journal of Chemotherapy
85059686826|||Behavioral Medicine
85078559664|||EXCLI Journal
85078122088|||Catalysis Letters
85065421066|||Lecture Notes in Networks and Systems
85079761695|||Sustainability (Switzerland)
85079424165|||Interactive Learning Environments
85079180139|||Journal of Chemotherapy
85078570762|||Advances in Intelligent Systems and Computing
85078398676|||Medicinal Chemistry
85077546422|||Journal of Food Measurement and Characterization
85076528803|||Engineering Failure Analysis
85075853590|||Food and Chemical Toxicology
85074613562|||Energy Policy
85074387831|||Applied Mathematical Modelling
85066049777|||IFMBE Proceedings
85066019727|||IFMBE Proceedings
85066012011|||IFMBE Proceedings
85065057712|||European Journal of Special Needs Education
85064698214|||Advances in Intelligent Systems and Computing
85079867347|||Physica A: Statistical Mechanics and its Applications
85079047354|||Saudi Pharmaceutical Journal
85077641479|||IEEE Journal of Biomedical and Health Informatics
85077201082|||Monatshefte fur Chemie
85075538228|||Optical Fiber Technology
85074895646|||South African Journal of Botany
85071637061|||Naunyn-Schmiedeberg's Archives of Pharmacology
85079669662|||Sustainability (Switzerland)
85079202868|||Canadian Journal of Physiology and Pharmacology
85077965922|||Laser Physics
85077915263|||Communications - Scientific Letters of the University of Zilina
85077025533|||Current Hypertension Reviews
85074711443|||Industrial Crops and Products
85073224674|||Lecture Notes in Networks and Systems
85071339391|||European Journal of Combinatorics
85066041203|||IFMBE Proceedings
85065436297|||Lecture Notes in Networks and Systems
85079504117|||Water (Switzerland)
85077150885|||Saudi Pharmaceutical Journal
85076034818|||Journal of Computational Science
85080028598|||Oxidative medicine and cellular longevity
85079446029|||Reaction Kinetics, Mechanisms and Catalysis
85079140688|||International Journal of Sport Nutrition and Exercise Metabolism
85076204753|||Environmental Toxicology and Chemistry
85075908310|||The Lancet Gastroenterology and Hepatology
85079321926|||Radiation protection dosimetry
85077551693|||AIP Conference Proceedings
85077306942|||Frontiers in Public Health
85077281461|||Frontiers in Bioengineering and Biotechnology
85077748107|||JCI Insight
85078235791|||IOP Conference Series: Materials Science and Engineering
85075792537|||Physics Teacher
85070080246|||Safety Science
84953230816|||Journal of Patient Safety
85078919636|||Serbian Journal of Experimental and Clinical Research
85078732256|||Serbian Journal of Experimental and Clinical Research
85077208075|||Serbian Journal of Experimental and Clinical Research
85076505477|||Expert Systems
85073692861|||Theoretical and Applied Fracture Mechanics
85072013704|||Clinical Breast Cancer
85071874101|||Engineering Failure Analysis
85071252552|||Medical Hypotheses
85070639614|||Scientific Reports
85069667218|||Future Generation Computer Systems
85042716248|||Serbian Journal of Experimental and Clinical Research
85078880988|||Serbian Journal of Experimental and Clinical Research
85076213465|||Medicina (Lithuania)
85074885842|||Journal of the Brazilian Society of Mechanical Sciences and Engineering
85073975459|||Biochimie
